City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Graaff-Reinet,ZA,-32.2522,24.5308,61.92,20,41,10.45,scattered clouds
149,Richards Bay,ZA,-28.783,32.0377,61.7,83,0,9.66,clear sky
150,Newport,GB,51.5877,-2.9984,61.83,87,19,7.29,few clouds
151,Pacific Grove,US,36.6177,-121.9166,90.28,76,1,7.0,clear sky
152,Bosaso,SO,11.2842,49.1816,89.11,37,56,19.84,broken clouds
153,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,16.11,scattered clouds
154,Arsk,RU,56.0915,49.8778,66.13,79,12,8.59,few clouds
155,Dikson,RU,73.5069,80.5464,43.48,99,100,11.34,light rain
156,Hasaki,JP,35.7333,140.8333,77.29,86,30,5.37,scattered clouds
157,Sungaipenuh,ID,-2.0833,101.3833,62.96,98,96,1.07,overcast clouds
158,Itarema,BR,-2.9248,-39.9167,78.67,79,83,15.12,broken clouds
159,Turkistan,KZ,43.0,68.0,80.51,24,86,23.42,overcast clouds
160,Klaksvik,FO,62.2266,-6.589,49.12,76,89,12.37,overcast clouds
161,Gannan,CN,47.9147,123.5031,59.2,91,100,13.02,overcast clouds
162,Lawrenceburg,US,38.0373,-84.8966,81.07,69,40,4.61,scattered clouds
163,Port Moresby,PG,-9.4431,147.1797,75.51,85,98,6.8,overcast clouds
164,Tuatapere,NZ,-46.1333,167.6833,47.82,95,100,3.65,overcast clouds
165,Hobyo,SO,5.3505,48.5268,76.01,81,79,24.52,broken clouds
166,Yashkul,RU,46.1711,45.3435,79.66,28,36,4.99,scattered clouds
167,Cidreira,BR,-30.1811,-50.2056,56.73,86,2,14.23,clear sky
168,Vila Velha,BR,-20.3297,-40.2925,62.55,94,90,6.91,mist
169,Puerto Escondido,MX,15.85,-97.0667,88.63,62,40,9.22,scattered clouds
170,Lakselv,NO,70.0513,24.9718,48.02,93,75,8.05,broken clouds
171,Talnakh,RU,69.4865,88.3972,51.15,87,13,8.72,few clouds
172,Provideniya,RU,64.3833,-173.3,45.48,83,97,4.47,overcast clouds
173,Thunder Bay,CA,48.4001,-89.3168,78.57,42,75,13.8,haze
174,Westport,US,41.1415,-73.3579,78.62,49,40,1.99,scattered clouds
175,Pimentel,PE,-6.8367,-79.9342,71.89,77,0,5.01,clear sky
176,Tukan,RU,53.8409,57.4552,59.65,92,58,3.76,broken clouds
177,Berdigestyakh,RU,62.0989,126.6992,65.61,49,0,0.76,clear sky
178,Nouakchott,MR,18.0858,-15.9785,76.93,82,45,12.39,scattered clouds
179,Vardo,NO,70.3705,31.1107,48.29,91,99,11.92,overcast clouds
180,Upernavik,GL,72.7868,-56.1549,42.98,79,100,3.27,overcast clouds
181,Aklavik,CA,68.2191,-135.0107,77.83,37,93,15.61,overcast clouds
182,Geraldton,AU,-28.7667,114.6,62.13,77,75,20.71,broken clouds
