City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
2,Buala,SB,79.5,2021-07-25 15:20:47,-8.145,159.5921,Maringe Lagoon Lodge
3,Longhua,CN,83.55,2021-07-25 15:20:48,23.6137,114.1919,Huadu Hotel
4,Hilo,US,74.8,2021-07-25 15:20:48,19.7297,-155.09,Hilo Hawaiian Hotel
5,Kapaa,US,79.12,2021-07-25 15:20:48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Matara,LK,78.26,2021-07-25 15:20:49,5.9485,80.5353,Amaloh Boutique Resort
7,Nhulunbuy,AU,72.21,2021-07-25 15:20:49,-12.2333,136.7667,East Arnhem Real Estate
9,Avarua,CK,71.65,2021-07-25 15:20:50,-21.2078,-159.775,Paradise Inn
10,Boguchany,RU,70.16,2021-07-25 15:20:50,58.3814,97.4531,Uyut
11,Caraquet,CA,79.38,2021-07-25 15:20:50,47.7941,-64.9386,Gite Le Poirier
18,Ranong,TH,78.33,2021-07-25 15:20:52,9.9658,98.6348,Tinidee Hotel@Ranong
19,Dingle,PH,77.23,2021-07-25 15:20:52,10.9995,122.6711,SEGAYA PROPERTY
20,Kavieng,PG,81.01,2021-07-25 15:20:53,-2.5744,150.7967,Nusa Island Retreat
21,Puerto Ayora,EC,76.96,2021-07-25 15:19:38,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Atuona,PF,77.32,2021-07-25 15:20:53,-9.8,-139.0333,Villa Enata
25,Westfield,US,70.38,2021-07-25 15:20:09,42.1251,-72.7495,Quality Inn
26,Victoria,HK,87.22,2021-07-25 15:19:08,22.2855,114.1577,Mini Hotel Central
27,Itarema,BR,89.67,2021-07-25 15:20:55,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
28,Kandava,LV,76.66,2021-07-25 15:20:55,57.0409,22.7747,Tourism and Relaxation Centre Plosti
30,Padang,ID,78.85,2021-07-25 15:20:55,-0.9492,100.3543,Mercure Padang
32,Nikolskoye,RU,72.39,2021-07-25 15:20:56,59.7035,30.7861,Tourist House - Sablino
33,Arraial Do Cabo,BR,78.76,2021-07-25 15:20:56,-22.9661,-42.0278,Pousada Porto Praia
34,Debica,PL,73.72,2021-07-25 15:20:57,50.0515,21.4114,Hotel Lord
38,Kloulklubed,PW,83.64,2021-07-25 15:20:58,7.0419,134.2556,Storyboard Beach Resort
